filename,title,memory,workers,total_executions
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,5,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,6,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,7,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,8,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,9,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,10,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,12,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,16,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,20,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,24,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,28,10
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,4,19
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,5,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,6,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,7,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,8,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,9,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,10,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,12,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,16,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,20,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,24,18
pi_stage_local_2048Mb_x86,pi_stage_local_2048Mb_x86,2048,28,18
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,4,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,5,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,6,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,7,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,8,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,9,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,10,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,12,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,16,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,20,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,24,10
pi_stage_local_512Mb_x86,pi_stage_local_512Mb_x86,512,28,10
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,4,8
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,5,8
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,6,8
