Architecture,Memory_MB,Workers,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
ARM,2048,5,video,48,58.98109367291133,18061.631293570004,7.868077895966371
ARM,2048,6,ml,68,27.419246348617406,12204.877026721368,4.389272955486674
ARM,2048,6,pi,10,21.959234444300332,1836.9892789220812,3.5152342498435964
ARM,2048,6,titanic,10,21.251877268155415,7282.524138940573,3.402000513086319
ARM,2048,6,video,40,55.1469042579333,20226.019508368965,8.827916433609962
ARM,2048,7,ml,88,27.295242039008418,14229.63120197695,5.097659403205212
ARM,2048,7,pi,10,18.79253443309239,1877.4230048060415,3.5096937307243343
ARM,2048,7,titanic,10,17.714179594176155,7243.656320102215,3.3083001810083386
ARM,2048,7,video,36,53.440382158945475,22768.500971621932,9.980525772004656
ARM,2048,8,ml,40,27.225235604579908,16168.670998720187,5.810954287441536
ARM,2048,8,pi,10,16.520871248841285,1903.7526035475728,3.526214759352684
ARM,2048,8,titanic,10,14.990829822421071,7232.762228933572,3.1996427172975537
ARM,2048,8,video,50,57.6453772347707,28336.430347011643,12.303829316989457
ARM,2048,9,ml,52,27.612398906552745,18409.16095854366,6.6302892254414445
ARM,2048,9,pi,10,14.662270140647887,1914.835516021252,3.5207043061723704
ARM,2048,9,titanic,10,12.971110521422492,7222.052174077033,3.1146230584039687
ARM,2048,9,video,40,54.31818459298876,29942.98581268191,13.042882484468459
ARM,2048,10,ml,60,27.705469209211742,20529.994678150757,7.391819185017693
ARM,2048,10,pi,10,13.208654475212096,1987.0656715250016,3.5240690139865873
ARM,2048,10,titanic,10,11.508627123832705,7230.329214488267,3.070501716638565
ARM,2048,10,video,36,56.14036284287771,34424.715241469275,14.978248806479773
ARM,2048,12,ml,64,27.584231681378462,24639.930214391727,8.831367615110128
ARM,2048,12,pi,10,10.978002085288365,2064.0741508674623,3.5147171476259222
ARM,2048,12,titanic,10,9.20750717719396,7294.490052905083,2.9478754978504176
ARM,2048,12,video,36,52.5770245856709,38464.22180636591,16.83306019134839
ARM,2048,16,ml,48,27.732557979806593,33104.72054906198,11.838474350419839
ARM,2048,16,pi,10,8.213742268085479,2215.567492409945,3.506282299400329
ARM,2048,16,titanic,10,6.586391167342663,7672.475927221775,2.811598661515236
ARM,2048,16,video,46,52.16471849178726,51022.11921782674,22.268075029774145
ARM,2048,20,ml,96,27.646886103556596,41814.5741851577,14.752378424857799
ARM,2048,20,pi,10,6.613244588375092,2315.455883636475,3.528827312356949
ARM,2048,20,titanic,10,5.100331877470016,8092.794834200144,2.7215370898180007
ARM,2048,20,video,44,52.91958603317088,64699.66059787816,28.237891107299976
ARM,2048,24,ml,56,27.799335875471375,50373.22975137154,17.80047074778183
ARM,2048,24,pi,10,5.44068411787351,2534.3336275899414,3.4837788543567663
ARM,2048,24,titanic,10,4.124948923786481,8366.052063037157,2.641287294878959
ARM,2048,24,video,40,51.453748793403314,75380.19792856812,32.94686442739201
ARM,2048,28,ml,52,27.703247218161387,60108.31880961422,20.69543380185528
ARM,2048,28,pi,10,4.650761858906065,2707.795774952174,3.4743051390771864
ARM,2048,28,titanic,10,3.5022487257208144,9150.660327293874,2.616319888062477
ARM,2048,28,video,44,52.36150900497065,89551.51192460602,39.116141687073274
x86,512,4,ml,40,152.40742672085761,16654.099152498246,5.081263606873393
x86,512,4,pi,20,95.18463990092278,23872.316880709266,3.1734558942967652
x86,512,4,video,72,166.5310057982222,20396.231332391995,5.552143733312729
x86,512,5,ml,40,151.2719857263565,20775.17835175259,6.304260005145908
x86,512,5,pi,20,75.28448469638825,23060.920987424553,3.1374808997219805
x86,512,5,video,72,164.78600617817472,25898.65006448934,6.867456807475431
x86,512,6,ml,40,151.46247180700303,24729.642667505766,7.574638215068221
x86,512,6,pi,20,63.443188583850855,25761.035417607403,3.1727938610783815
x86,512,6,video,76,179.6902431100607,32199.055758462222,8.986309057934136
x86,512,7,ml,40,151.64635717187608,28986.205490704197,8.84780670919311
x86,512,7,pi,20,53.571484095709664,24363.709457960525,3.125628239564181
x86,512,7,video,76,174.44287679412147,37561.30886665924,10.177869646553019
x86,512,8,ml,40,152.69710161685944,33709.66087241587,10.18184273581219
x86,512,8,pi,20,47.28625628054142,26472.42518783932,3.1530475687865023
x86,512,8,video,76,177.1052639789202,42247.403984210396,11.8093790021144
x86,512,9,ml,40,151.4508174075021,37872.370682174536,11.36108306782377
x86,512,9,pi,20,42.0114511569341,27179.12031835065,3.1514890085374123
x86,512,9,video,76,176.95375957934544,49399.09780972742,13.274186274844597
x86,512,10,ml,40,158.4160779452324,43574.96551234457,13.20398009673512
x86,512,10,pi,20,38.70019156455994,31402.902753738417,3.225660966906071
x86,512,10,video,72,182.02862555454303,54480.57321427079,15.172085939971163
x86,512,12,ml,40,156.67933077613515,51706.459239309996,15.671066664229038
x86,512,12,pi,20,32.369299072027204,34095.01267113347,3.2375772931841613
x86,512,12,titanic,17,37.63165360922907,12975.552425642169,3.763917993995092
x86,512,12,video,72,178.95106716770113,64239.89380668489,17.89868573811347
x86,512,16,ml,36,153.46789782411523,68329.61365925668,20.466478853824004
x86,512,16,pi,20,23.762157370150092,34145.516732744225,3.1689213068832167
x86,512,16,titanic,17,26.614789976793176,13257.05562277568,3.5493483913051382
x86,512,16,video,76,172.72736315276813,87436.94204615767,23.034921150053158
x86,512,20,ml,36,155.4625877936681,86488.56251812981,25.91561338520448
x86,512,20,pi,20,19.51119857430458,38889.109776558726,3.252516802336574
x86,512,20,titanic,17,20.419353213029748,13509.863263224868,3.4039061806120596
x86,512,20,video,76,168.08768084279515,107172.33707031072,28.020216396493954
x86,512,24,ml,40,155.85757816135882,104923.6169078844,31.177749935398218
x86,512,24,pi,20,16.08859975437323,42984.24842528546,3.218363494864822
x86,512,24,titanic,17,16.204002355828006,13692.472355970258,3.2414486312598343
x86,512,24,video,76,173.89243238340273,133186.691020781,34.78544217397589
x86,512,28,ml,40,155.15216418504713,123431.02922041026,36.2094120775063
x86,512,28,pi,20,13.692227793591364,45294.313320941445,3.1954921224683526
x86,512,28,titanic,17,13.64897928869023,14484.682126306574,3.185398786394526
x86,512,28,video,76,163.05471535056054,149731.48961969456,38.05370946851382
x86,1024,4,ml,40,82.61904610395432,17352.462388768246,5.509037994211674
x86,1024,4,pi,20,74.94936967492103,15479.886408612014,4.997623969923735
x86,1024,4,titanic,10,75.41346688270569,14340.052341866254,5.028569971738817
x86,1024,4,video,84,101.93456831086766,23746.319710937227,6.796997014968657
x86,1024,5,ml,40,80.50860882282257,21216.849082819077,6.710392545382262
x86,1024,5,pi,20,59.93190783977509,15989.482437294213,4.995324518445255
x86,1024,5,titanic,10,56.78661029815674,13631.63656306312,4.733163968351364
x86,1024,5,video,80,96.31915503174366,28983.36745613001,8.028201571895837
x86,1024,6,ml,40,80.25840866963068,25384.11955261571,8.027446035136462
x86,1024,6,pi,20,49.96993347009023,17115.942540410484,4.997992745678426
x86,1024,6,titanic,10,44.174917276700334,13067.035360161424,4.418375226015568
x86,1024,6,video,80,93.93273555469834,34924.5803323156,9.39515221018093
x86,1024,7,ml,40,80.01527693612235,29777.899592208072,9.33698266567612
x86,1024,7,pi,20,42.626569553783966,17210.910105727904,4.974094401231051
x86,1024,7,titanic,10,36.22682419845036,12834.324347614456,4.227308115717173
x86,1024,7,video,80,94.22744602248783,41088.5097028671,10.995400676364106
x86,1024,8,ml,40,78.89707526862621,33789.087098793454,10.52171395782399
x86,1024,8,pi,20,37.5142591625452,18077.642027211143,5.002901601917029
x86,1024,8,titanic,10,30.609172150492668,12760.373333100082,4.082039197989703
x86,1024,8,video,84,91.68808206428182,46416.66955507247,12.227522624092622
x86,1024,9,ml,40,78.04549656444127,37565.62855318436,11.709165849563123
x86,1024,9,pi,20,33.255971325768364,18337.02964361962,4.989393378005028
x86,1024,9,titanic,10,26.417459739579098,12687.769243287968,3.963411484729052
x86,1024,9,video,88,92.22513914830758,51879.05029558389,13.836537626420586
x86,1024,10,ml,40,77.16110406398774,41059.34161247141,12.862756047466757
x86,1024,10,pi,20,29.963409128189088,19081.038057495865,4.994900301669121
x86,1024,10,titanic,10,23.36664589881897,12645.495554534102,3.8952198713331225
x86,1024,10,video,92,91.64131934570544,56893.24232552313,15.276607934929096
x86,1024,12,ml,40,76.15294112165769,49290.7661320505,15.233634341976403
x86,1024,12,pi,20,24.865215357144674,20066.90975371872,4.974037680043221
x86,1024,12,titanic,10,18.295764644940693,12427.357667655731,3.659884759573937
x86,1024,12,video,88,89.19774373553017,69874.46450721988,17.843116656855454
x86,1024,16,ml,40,75.37503739744425,66664.48046333378,20.10402997464633
x86,1024,16,pi,20,18.671058119833468,23004.709487776883,4.979944621721984
x86,1024,16,titanic,10,13.01447971314192,12946.311023436025,3.471222029089213
x86,1024,16,video,92,89.75409708070484,91622.37320615981,23.939212773365597
x86,1024,20,ml,40,73.9302110683918,82669.59343248434,24.648332370201825
